class,neurons_json,wormatlas,wang,agree
ADA,glutamate,glutamate,glutamate,yes
ADE,dopamine,dopamine,dopamine,yes
ADF,"ACh,serotonin","ACh,serotonin","ACh,serotonin",yes
ADL,glutamate,glutamate,glutamate,yes
AFD,glutamate,glutamate,"ACh,glutamate",no
AIA,ACh,ACh,ACh,yes
AIB,glutamate,glutamate,"betaine,glutamate",no
AIM,"glutamate,serotonin","ACh,glutamate,serotonin","glutamate,serotonin",no
AIN,ACh,ACh,ACh,yes
AIY,ACh,ACh,ACh,yes
AIZ,glutamate,glutamate,glutamate,yes
ALA,-,-,GABA,no
ALM,glutamate,glutamate,glutamate,yes
ALN,ACh,ACh,ACh,yes
AQR,glutamate,glutamate,glutamate,yes
ASE,glutamate,glutamate,glutamate,yes
ASG,glutamate,"glutamate,serotonin","betaine,glutamate",no
ASH,glutamate,glutamate,glutamate,yes
ASI,-,-,betaine,no
ASJ,ACh,ACh,ACh,yes
ASK,glutamate,glutamate,glutamate,yes
ASn,ACh,ACh,ACh,yes
AUA,glutamate,glutamate,"betaine,glutamate",no
AVA,ACh,ACh,ACh,yes
AVB,ACh,ACh,ACh,yes
AVD,ACh,ACh,ACh,yes
AVE,ACh,ACh,ACh,yes
AVF,-,-,GABA,no
AVG,ACh,ACh,ACh,yes
AVH,-,-,-,yes
AVJ,-,-,GABA,no
AVK,-,-,-,yes
AVL,GABA,GABA,GABA,yes
AVM,glutamate,glutamate,glutamate,yes
AWA,-,-,ACh,no
AWB,ACh,ACh,ACh,yes
AWC,glutamate,glutamate,glutamate,yes
BAG,glutamate,glutamate,glutamate,yes
BDU,-,-,-,yes
CEP,dopamine,dopamine,dopamine,yes
DAn,ACh,ACh,"ACh,betaine",no
DBn,ACh,ACh,ACh,yes
DDn,GABA,GABA,GABA,yes
DVA,ACh,ACh,"ACh,glutamate",no
DVB,GABA,GABA,"betaine,GABA",no
DVC,glutamate,glutamate,glutamate,yes
FLP,glutamate,glutamate,glutamate,yes
HSN,"glutamate,serotonin","ACh,serotonin","ACh,serotonin",no
I1,ACh,ACh,ACh,yes
I2,glutamate,glutamate,glutamate,yes
I3,ACh,ACh,ACh,yes
I4,-,-,glutamate,no
I5,"glutamate,serotonin",glutamate,"glutamate,serotonin",no
I6,-,-,-,yes
IL1,glutamate,glutamate,glutamate,yes
IL2,ACh,ACh,ACh,yes
LUA,glutamate,glutamate,glutamate,yes
M1,ACh,ACh,ACh,yes
M2,ACh,ACh,ACh,yes
M3,glutamate,glutamate,"betaine,glutamate",no
M4,ACh,ACh,ACh,yes
M5,ACh,ACh,"ACh,glutamate",no
MC,ACh,ACh,ACh,yes
MI,glutamate,glutamate,"glutamate,serotonin",no
NSM,serotonin,serotonin,"betaine,serotonin",no
OLL,glutamate,glutamate,glutamate,yes
OLQ,glutamate,glutamate,glutamate,yes
PDA,ACh,ACh,"ACh,betaine",no
PDB,ACh,ACh,ACh,yes
PDE,dopamine,dopamine,"dopamine,glutamate",no
PHA,glutamate,glutamate,glutamate,yes
PHB,glutamate,glutamate,glutamate,yes
PHC,glutamate,glutamate,"betaine,glutamate",no
PLM,glutamate,glutamate,glutamate,yes
PLN,ACh,ACh,ACh,yes
PQR,glutamate,glutamate,glutamate,yes
PVC,ACh,ACh,ACh,yes
PVD,glutamate,glutamate,glutamate,yes
PVM,-,-,-,yes
PVN,ACh,ACh,"ACh,betaine,glutamate",no
PVP,ACh,ACh,ACh,yes
PVQ,glutamate,glutamate,-,yes
PVR,glutamate,glutamate,glutamate,yes
PVT,-,-,-,yes
PVW,-,-,serotonin,no
RIA,glutamate,glutamate,glutamate,yes
RIB,"ACh,GABA","ACh,GABA",GABA,no
RIC,octopamine,octopamine,"glutamate,octopamine",no
RID,-,-,-,yes
RIF,ACh,ACh,ACh,yes
RIG,glutamate,glutamate,glutamate,yes
RIH,"ACh,serotonin","ACh,serotonin","ACh,serotonin",yes
RIM,"glutamate,tyramine","glutamate,tyramine","betaine,glutamate,tyramine",no
RIP,-,-,ACh,no
RIR,ACh,ACh,"ACh,betaine",no
RIS,GABA,GABA,"betaine,GABA",no
RIV,ACh,ACh,ACh,yes
RMD,ACh,ACh,ACh,yes
RME,GABA,GABA,GABA,yes
RMF,ACh,ACh,ACh,yes
RMG,-,-,-,yes
RMH,ACh,ACh,"ACh,betaine",no
SAA,ACh,ACh,ACh,yes
SAB,ACh,ACh,ACh,yes
SDQ,ACh,ACh,ACh,yes
SIA,ACh,ACh,ACh,yes
SIB,ACh,ACh,ACh,yes
SMB,ACh,ACh,ACh,yes
SMD,ACh,ACh,"ACh,betaine,GABA",no
URA,ACh,ACh,ACh,yes
URB,ACh,ACh,ACh,yes
URX,ACh,ACh,"ACh,betaine,serotonin",no
URY,glutamate,glutamate,glutamate,yes
VAn,ACh,ACh,"ACh,betaine",no
VBn,ACh,ACh,"ACh,betaine",no
VCn,"ACh,serotonin","ACh,serotonin","ACh,serotonin",yes
VDn,GABA,GABA,GABA,yes
