neuron,innexin,expression,developmental_plasticity
ADA,inx-1a,both,
ADA,inx-1b,both,
ADA,inx-2,both,
ADA,che-7,both,
ADA,inx-7,both,
ADA,inx-10a,dauer_only,
ADA,inx-14,both,
ADA,inx-19,both,
ADA,unc-7,both,
ADA,unc-9,both,
ADE,inx-1a,both,
ADE,inx-1b,both,
ADE,inx-7,both,
ADE,inx-10a,both,
ADE,unc-7,both,
ADE,unc-9,both,
ADF,che-7,both,
ADF,inx-10a,non-dauer_only,
ADF,unc-7,both,
ADF,unc-9,both,
ADL,inx-1a,both,
ADL,inx-1b,both,
ADL,che-7,both,
ADL,inx-7,both,
ADL,inx-10a,both,
ADL,inx-14,both,
ADL,inx-18a,both,
ADL,unc-7,both,
ADL,unc-9,non-dauer_only,
AFD,inx-1a,both,
AFD,inx-1b,both,
AFD,inx-2,non-dauer_only,yes
AFD,che-7,both,
AFD,inx-7,both,
AFD,inx-10a,both,
AFD,inx-19,both,
AFD,unc-7,both,
AIA,inx-1a,both,
AIA,inx-1b,both,
AIA,inx-10a,both,
AIA,inx-14,dauer_only,
AIA,inx-19,both,
AIA,unc-9,both,
AIB,inx-1a,both,
AIB,inx-1b,both,
AIB,inx-2,both,
AIB,inx-6,dauer_only,
AIB,inx-7,both,
AIB,inx-10a,both,
AIB,inx-18a,non-dauer_only,yes
AIB,unc-7,both,
AIB,unc-9,both,
AIM,inx-2,non-dauer_only,
AIM,che-7,dauer_only,
AIM,inx-7,both,
AIM,inx-10a,both,
AIM,inx-14,both,
AIM,inx-19,both,
AIM,unc-9,both,
AIN,inx-1a,non-dauer_only,
AIN,inx-1b,both,
AIN,inx-2,non-dauer_only,yes
AIN,che-7,both,
AIN,inx-10a,both,
AIN,inx-14,both,
AIN,inx-19,non-dauer_only,
AIN,unc-7,both,
AIN,unc-9,both,
AIY,inx-1a,both,
AIY,inx-1b,both,
AIY,inx-2,non-dauer_only,
AIY,inx-7,both,
AIY,inx-10a,both,
AIY,inx-14,both,
AIY,inx-18a,both,
AIY,inx-18b,both,
AIY,inx-19,non-dauer_only,yes
AIY,unc-9,both,
AIZ,inx-1a,both,
AIZ,inx-1b,both,
AIZ,inx-2,both,
AIZ,inx-7,both,
AIZ,inx-10a,both,
AIZ,inx-14,both,
AIZ,unc-7,both,
AIZ,unc-9,both,
ALA,inx-1a,both,
ALA,inx-1b,both,
ALA,inx-10a,both,
ALA,inx-14,both,
ALA,inx-18a,both,yes
ALA,unc-7,dauer_only,
ALA,unc-9,both,
ALM,inx-1a,both,
ALM,inx-1b,both,
ALM,inx-2,non-dauer_only,
ALM,inx-7,both,
ALM,inx-10a,both,
ALM,inx-14,both,
ALM,inx-18a,non-dauer_only,
ALM,unc-7,dauer_only,
ALM,unc-9,both,
ALN,inx-1a,both,
ALN,inx-1b,both,
ALN,inx-2,non-dauer_only,
ALN,inx-7,both,
ALN,inx-10a,non-dauer_only,
ALN,inx-11,dauer_only,
ALN,inx-14,both,
ALN,inx-18a,both,
ALN,unc-7,both,
ALN,unc-9,both,
AQR,inx-1a,both,
AQR,inx-1b,both,
AQR,che-7,both,
AQR,inx-7,both,
AQR,inx-10a,both,
AQR,unc-7,both,
AQR,unc-9,both,
ASE,inx-1a,both,
ASE,inx-1b,both,
ASE,che-7,both,
ASE,inx-7,both,
ASE,inx-10a,both,
ASE,inx-14,both,
ASE,unc-7,dauer_only,
ASE,unc-9,non-dauer_only,
ASG,inx-1a,both,
ASG,inx-1b,both,
ASG,che-7,both,
ASG,inx-7,both,
ASG,inx-10a,both,
ASG,inx-14,both,
ASG,inx-18a,both,
ASH,inx-1a,both,
ASH,inx-1b,both,
ASH,che-7,both,
ASH,inx-7,both,
ASH,inx-10a,both,
ASH,inx-14,both,
ASH,inx-19,both,
ASH,unc-7,both,
ASH,unc-9,non-dauer_only,
ASI,inx-1a,both,
ASI,inx-1b,both,
ASI,che-7,both,
ASI,inx-19,both,
ASI,unc-7,non-dauer_only,
ASI,unc-9,both,
ASJ,che-7,both,
ASJ,inx-7,both,
ASJ,inx-10a,both,
ASJ,inx-14,both,yes
ASJ,inx-18a,both,
ASJ,unc-9,both,
ASK,inx-1a,both,
ASK,inx-1b,both,
ASK,inx-2,non-dauer_only,
ASK,che-7,both,
ASK,inx-7,both,
ASK,inx-10a,both,
ASK,inx-14,both,
ASK,inx-18a,both,
ASK,inx-18b,both,
ASK,unc-7,both,
ASK,unc-9,non-dauer_only,
AUA,inx-1a,both,
AUA,inx-1b,both,
AUA,inx-2,both,
AUA,che-7,both,
AUA,inx-7,both,
AUA,inx-10a,both,
AUA,inx-14,both,
AUA,unc-7,both,
AUA,unc-9,both,
AVA,inx-1a,both,
AVA,inx-1b,both,
AVA,inx-7,both,
AVA,inx-10a,both,
AVA,inx-14,both,
AVA,inx-18a,both,
AVA,inx-19,non-dauer_only,yes
AVA,unc-7,non-dauer_only,
AVA,unc-9,both,
AVB,inx-1a,both,
AVB,inx-1b,both,
AVB,inx-2,non-dauer_only,
AVB,inx-10a,both,
AVB,inx-18a,non-dauer_only,
AVB,inx-19,both,
AVB,unc-7,both,
AVB,unc-9,both,
AVD,inx-1a,both,
AVD,inx-1b,both,
AVD,inx-2,both,
AVD,inx-10a,both,
AVD,inx-14,both,
AVD,inx-18a,non-dauer_only,
AVD,inx-19,both,
AVD,unc-7,both,
AVD,unc-9,both,
AVE,inx-1a,both,
AVE,inx-1b,both,
AVE,inx-2,non-dauer_only,
AVE,inx-10a,both,
AVE,inx-14,both,
AVE,inx-19,both,
AVE,unc-7,both,
AVE,unc-9,both,
AVF,inx-10a,both,
AVF,inx-14,both,
AVF,inx-19,non-dauer_only,
AVF,unc-7,non-dauer_only,
AVF,unc-9,both,
AVG,inx-1a,non-dauer_only,
AVG,inx-1b,non-dauer_only,
AVG,inx-2,non-dauer_only,yes
AVG,inx-10a,both,
AVG,inx-14,dauer_only,
AVG,inx-18a,both,
AVG,inx-18b,both,
AVG,unc-7,both,
AVG,unc-9,both,
AVH,inx-1a,both,
AVH,inx-10a,both,
AVH,unc-9,dauer_only,
AVJ,inx-1a,both,
AVJ,inx-10a,both,
AVJ,unc-9,dauer_only,
AVK,inx-1a,non-dauer_only,
AVK,inx-2,non-dauer_only,
AVK,inx-10a,both,
AVK,inx-14,both,
AVK,inx-18a,non-dauer_only,
AVK,inx-19,both,
AVK,unc-7,both,
AVK,unc-9,both,
AVL,inx-2,both,
AVL,inx-10a,both,
AVL,inx-14,both,
AVL,unc-9,both,
AVM,inx-1a,both,
AVM,inx-1b,both,
AVM,inx-10a,both,
AVM,inx-14,dauer_only,
AVM,unc-9,both,
AWA,che-7,both,
AWA,inx-7,both,
AWA,eat-5,non-dauer_only,
AWA,unc-7,both,
AWA,unc-9,both,
AWB,inx-1a,both,
AWB,che-7,both,
AWB,inx-7,both,
AWB,inx-10a,both,
AWB,inx-14,both,
AWB,inx-18a,non-dauer_only,
AWB,inx-19,both,
AWB,unc-7,both,
AWB,unc-9,both,
AWC,inx-1a,both,
AWC,inx-1b,both,
AWC,che-7,both,
AWC,inx-7,both,
AWC,inx-10a,both,
AWC,inx-14,both,
AWC,inx-18a,both,
AWC,inx-19,non-dauer_only,
AWC,unc-7,both,
AWC,unc-9,both,
BAG,inx-1a,both,
BAG,inx-1b,both,
BAG,che-7,both,
BAG,inx-7,both,
BAG,inx-10a,both,
BAG,inx-14,both,
BAG,unc-7,both,
BDU,inx-2,non-dauer_only,
BDU,che-7,dauer_only,
BDU,inx-7,both,
BDU,inx-10a,both,
BDU,inx-19,both,
BDU,unc-7,both,
BDU,unc-9,both,
CAN,inx-7,both,
CAN,inx-13,both,
CEP,inx-1a,both,
CEP,inx-1b,both,
CEP,inx-10a,both,
CEP,inx-11,dauer_only,
CEP,inx-14,both,
CEP,unc-7,both,
CEP,unc-9,both,
DVA,inx-1a,both,
DVA,inx-1b,both,
DVA,inx-7,both,
DVA,inx-10a,both,
DVA,inx-14,both,
DVA,inx-18a,both,
DVA,unc-7,both,
DVA,unc-9,both,
DVB,inx-13,both,
DVB,unc-9,both,
DVC,che-7,both,
DVC,inx-7,both,
DVC,inx-10a,both,
DVC,inx-11,both,
DVC,inx-14,both,
DVC,unc-9,both,
FLP,inx-1a,both,
FLP,inx-1b,both,
FLP,inx-2,non-dauer_only,
FLP,che-7,both,
FLP,inx-7,both,
FLP,inx-10a,dauer_only,
FLP,inx-14,both,
FLP,inx-18a,both,
FLP,unc-7,both,
FLP,unc-9,both,
HSN,inx-1a,non-dauer_only,yes
HSN,inx-1b,non-dauer_only,yes
HSN,inx-2,non-dauer_only,yes
HSN,inx-7,non-dauer_only,yes
HSN,inx-10a,non-dauer_only,yes
HSN,unc-7,non-dauer_only,yes
HSN,unc-9,non-dauer_only,yes
I1,inx-1a,non-dauer_only,
I1,inx-1b,both,
I1,inx-2,both,
I1,inx-18a,non-dauer_only,
I1,unc-7,both,
I1,unc-9,both,
I2,inx-1a,non-dauer_only,
I2,inx-1b,both,
I2,inx-2,both,
I2,inx-7,both,
I2,inx-10a,both,
I2,inx-14,both,
I2,inx-19,both,
I2,unc-7,non-dauer_only,
I2,unc-9,both,
I3,inx-1a,non-dauer_only,
