fig_label,symbol,isoform,wbgene,category,systematic_name
inx-1a,inx-1,a,WB:WBGene00002123,innexin,C16E9.4
inx-1b,inx-1,b,WB:WBGene00002123,innexin,C16E9.4
inx-2,inx-2,,WB:WBGene00002124,innexin,F08G12.10
che-7,che-7,,WB:WBGene00000488,innexin,
inx-5,inx-5,,WB:WBGene00002127,innexin,
inx-6,inx-6,,WB:WBGene00002128,innexin,
inx-7,inx-7,,WB:WBGene00002129,innexin,K02B2.4
inx-10a,inx-10,a,WB:WBGene00002132,innexin,T18H9.5
inx-11,inx-11,,WB:WBGene00002133,innexin,
inx-13,inx-13,,WB:WBGene00002135,innexin,
inx-14,inx-14,,WB:WBGene00002136,innexin,F07A5.1
inx-18a,inx-18,a,WB:WBGene00002140,innexin,C18H7.2
inx-18b,inx-18,b,WB:WBGene00002140,innexin,C18H7.2
inx-19,inx-19,,WB:WBGene00002141,innexin,T16H5.1
eat-5,eat-5,,WB:WBGene00001136,innexin,
unc-7,unc-7,,WB:WBGene00006747,innexin,R07D5.1
unc-9,unc-9,,WB:WBGene00006749,innexin,R12H7.1
