source,target,weight,type
I1L,I2L,1,electrical
I1L,I2L,12,chemical
I1L,I3,5,chemical
I1L,I5,9,chemical
I1L,M2L,6,chemical
I1L,M3L,1,electrical
I1L,M3L,20,chemical
I1L,M3R,3,chemical
I1L,MCL,4,chemical
I1L,MCR,4,chemical
I1L,MI,4,chemical
I1L,NSML,11,chemical
I1L,pm1,3,chemical
I1L,pm3VL,7,chemical
I1L,pm4D,1,chemical
I1L,pm4VL,2,chemical
I1L,pm4vl,1,chemical
I1R,I2L,2,chemical
I1R,I2R,11,chemical
I1R,I3,1,electrical
I1R,I3,7,chemical
I1R,I5,4,chemical
I1R,M1,4,chemical
I1R,M2L,1,chemical
I1R,M2R,7,chemical
I1R,M3L,1,chemical
I1R,M3R,12,chemical
I1R,M4,2,chemical
I1R,MCL,8,chemical
I1R,MCR,4,electrical
I1R,MCR,9,chemical
I1R,MI,2,chemical
I1R,NSML,2,chemical
I1R,NSMR,2,electrical
I1R,NSMR,3,chemical
I1R,pm1,2,chemical
I1R,pm3D,2,chemical
I1R,pm3VR,2,electrical
I1R,pm3VR,5,chemical
I1R,pm4D,1,chemical
I1R,pm4VR,2,chemical
I1R,pm4VR,2,electrical
I1R,pm4vr,3,chemical
I1R,pm5D,2,chemical
I1R,pm5vr,2,chemical
I2L,I1L,3,chemical
I2L,I2L,1,electrical
I2L,I2R,8,chemical
I2L,I4,31,chemical
I2L,I5,4,chemical
I2L,I6,2,chemical
I2L,M1,3,chemical
I2L,M2L,1,electrical
I2L,M3R,4,chemical
I2L,M4,4,chemical
I2L,NSML,32,chemical
I2L,NSMR,50,chemical
I2L,e3VL,1,chemical
I2L,pm3VL,1,chemical
I2L,pm4VL,4,chemical
I2L,pm5d,2,chemical
I2L,pm5vl,3,chemical
I2L,pm5vr,4,chemical
I2R,I1R,2,chemical
I2R,I2L,6,chemical
I2R,I4,31,chemical
I2R,I5,8,chemical
I2R,M1,5,chemical
I2R,M2R,1,electrical
I2R,M2R,3,chemical
I2R,M4,2,chemical
I2R,MCL,1,chemical
I2R,NSML,65,chemical
I2R,NSMR,2,electrical
I2R,NSMR,17,chemical
I2R,e3VR,1,chemical
I2R,pm1,1,chemical
I2R,pm3VR,2,chemical
I2R,pm4D,3,chemical
I2R,pm4VL,1,chemical
I2R,pm4d,3,chemical
I2R,pm5VR,3,chemical
I2R,pm5vl,2,chemical
