si6_label,symbol,isoform,wbgene,category,systematic_name
gar-1,gar-1,,WB:WBGene00001517,metabotropic_receptor,C15B12.5
gar-2,gar-2,,WB:WBGene00001518,metabotropic_receptor,F47D12.1
gar-3,gar-3,,WB:WBGene00001519,metabotropic_receptor,Y40H4A.1
gbb-1,gbb-1,,WB:WBGene00021528,metabotropic_receptor,Y41G9A.4
gbb-2,gbb-2,,WB:WBGene00022675,metabotropic_receptor,ZK180.1
mgl-1,mgl-1,,WB:WBGene00003232,metabotropic_receptor,ZC506.4
mgl-2,mgl-2,,WB:WBGene00003233,metabotropic_receptor,F45H11.4
mgl-3,mgl-3,,WB:WBGene00021152,metabotropic_receptor,Y4C6A.2
acc-4,acc-4,,WB:WBGene00012099,ionotropic_receptor,T27E9.9
dop-4,dop-4,,WB:WBGene00016872,ionotropic_receptor,C52B11.3
glr-2,glr-2,,WB:WBGene00001613,ionotropic_receptor,B0280.12
glr-7,glr-7,,WB:WBGene00001618,ionotropic_receptor,C43H6.9
glr-8,glr-8,,WB:WBGene00001619,ionotropic_receptor,F22A3.3
tyra-2,tyra-2,,WB:WBGene00017157,ionotropic_receptor,F01E11.5
ser-2,ser-2,,WB:WBGene00004777,ionotropic_receptor,C02D4.2
ser-4,ser-4,,WB:WBGene00004779,ionotropic_receptor,Y22D7AR.13
ser-7,ser-7,,WB:WBGene00004780,ionotropic_receptor,C09B7.1
inx1-1a,inx-1,a,WB:WBGene00002123,innexin,C16E9.4
inx1-1b,inx-1,b,WB:WBGene00002123,innexin,C16E9.4
inx1-2,inx-2,,WB:WBGene00002124,innexin,F08G12.10
inx1-7,inx-7,,WB:WBGene00002129,innexin,K02B2.4
inx1-10a,inx-10,a,WB:WBGene00002132,innexin,T18H9.5
inx1-14,inx-14,,WB:WBGene00002136,innexin,F07A5.1
inx1-18a,inx-18,a,WB:WBGene00002140,innexin,C18H7.2
inx1-19,inx-19,,WB:WBGene00002141,innexin,T16H5.1
unc-7,unc-7,,WB:WBGene00006747,innexin,R07D5.1
unc-9,unc-9,,WB:WBGene00006749,innexin,R12H7.1
flp-13,flp-13,,WB:WBGene00001456,neuropeptide,F33D4.3
flp-15,flp-15,,WB:WBGene00001458,neuropeptide,ZK525.1
flp-2,flp-2,,WB:WBGene00001445,neuropeptide,W07E11.3
flp-4,flp-4,,WB:WBGene00001447,neuropeptide,C18D1.3
flp-6,flp-6,,WB:WBGene00001449,neuropeptide,F07D3.2
nlp-13,nlp-13,,WB:WBGene00003751,neuropeptide,E03D2.1
nlp-3,nlp-3,,WB:WBGene00003741,neuropeptide,F48C11.3
nlp-8,nlp-8,,WB:WBGene00003746,neuropeptide,D2005.2
flp-5,flp-5,,WB:WBGene00001448,neuropeptide,C03G5.7
flp-21,flp-21,,WB:WBGene00001464,neuropeptide,C26F1.10
flp-18,flp-18,,WB:WBGene00001461,neuropeptide,Y48D7A.2
ins-10,ins-10,,WB:WBGene00002093,neuropeptide,T08G5.12
trh-1,trh-1,,WB:WBGene00007827,neuropeptide,C30H6.10
ins-1,ins-1,,WB:WBGene00002084,neuropeptide,F13B12.5
nlp-18,nlp-18,,WB:WBGene00003756,neuropeptide,F33A8.2
nlp-19,nlp-19,,WB:WBGene00003757,neuropeptide,K09C8.6
flp-1,flp-1,,WB:WBGene00001444,neuropeptide,F23B2.5
flp-17,flp-17,,WB:WBGene00001460,neuropeptide,C52D10.11
flp-26,flp-26,,WB:WBGene00020126,neuropeptide,R173.4
lury-1,lury-1,,WB:WBGene00013548,neuropeptide,Y75B8A.11
