cell_name,wbbt_id,wbbt_label,confidence,note
BWM-DL01,WBbt:0006235,MSapappp,high,body wall muscle cell (DL1); under WBbt:0006804
BWM-DL02,WBbt:0006306,MSapaaap,high,body wall muscle cell (DL2); under WBbt:0006804
BWM-DL03,WBbt:0006362,MSappppa,high,body wall muscle cell (DL3); under WBbt:0006804
BWM-DL04,WBbt:0006495,MSapappa,high,body wall muscle cell (DL4); under WBbt:0006804
BWM-DL05,WBbt:0006596,MSappppp,high,body wall muscle cell (DL5); under WBbt:0006804
BWM-DL06,WBbt:0005873,MSapppap,high,body wall muscle cell (DL6); under WBbt:0006804
BWM-DL07,WBbt:0006084,Dappaa,high,body wall muscle cell (DL7); under WBbt:0006804
BWM-DL08,WBbt:0005874,Daaap,high,body wall muscle cell (DL8); under WBbt:0006804
BWM-DL09,WBbt:0006320,Dappap,high,body wall muscle cell (DL9); under WBbt:0006804
BWM-DL10,WBbt:0006535,Dapap,high,body wall muscle cell (DL10); under WBbt:0006804
BWM-DL11,WBbt:0006274,Dapppa,high,body wall muscle cell (DL11); under WBbt:0006804
BWM-DL12,WBbt:0006182,Cappaaa,high,body wall muscle cell (DL12); under WBbt:0006804
BWM-DL13,WBbt:0006297,Dapppp,high,body wall muscle cell (DL13); under WBbt:0006804
BWM-DL14,WBbt:0005884,Capapaa,high,body wall muscle cell (DL14); under WBbt:0006804
BWM-DL15,WBbt:0007163,M.dlaa,high,body wall muscle cell (DL15); under WBbt:0006804
BWM-DL16,WBbt:0007164,M.dlap,high,body wall muscle cell (DL16); under WBbt:0006804
BWM-DL17,WBbt:0005976,Cappaap,high,body wall muscle cell (DL17); under WBbt:0006804
BWM-DL18,WBbt:0006559,Capapap,high,body wall muscle cell (DL18); under WBbt:0006804
BWM-DL19,WBbt:0006682,Capppaa,high,body wall muscle cell (DL19); under WBbt:0006804
BWM-DL20,WBbt:0006681,Cappapa,high,body wall muscle cell (DL20); under WBbt:0006804
BWM-DL21,WBbt:0006429,Capppap,high,body wall muscle cell (DL21); under WBbt:0006804
BWM-DL22,WBbt:0007168,M.dlpp,high,body wall muscle cell (DL22); under WBbt:0006804
BWM-DL23,WBbt:0006537,Cappppd,high,body wall muscle cell (DL23); under WBbt:0006804
BWM-DL24,WBbt:0006406,Cappapp,high,body wall muscle cell (DL24); under WBbt:0006804
BWM-DR01,WBbt:0006450,MSppappp,high,body wall muscle cell (DR1); under WBbt:0006804
BWM-DR02,WBbt:0006342,MSppaaap,high,body wall muscle cell (DR2); under WBbt:0006804
BWM-DR03,WBbt:0006261,MSpppppa,high,body wall muscle cell (DR3); under WBbt:0006804
BWM-DR04,WBbt:0006318,MSppappa,high,body wall muscle cell (DR4); under WBbt:0006804
BWM-DR05,WBbt:0006449,MSpppppp,high,body wall muscle cell (DR5); under WBbt:0006804
BWM-DR06,WBbt:0006659,MSppppap,high,body wall muscle cell (DR6); under WBbt:0006804
BWM-DR07,WBbt:0005858,Dpppaa,high,body wall muscle cell (DR7); under WBbt:0006804
BWM-DR08,WBbt:0006634,Dpaap,high,body wall muscle cell (DR8); under WBbt:0006804
BWM-DR09,WBbt:0006565,Dpppap,high,body wall muscle cell (DR9); under WBbt:0006804
BWM-DR10,WBbt:0005989,Dppap,high,body wall muscle cell (DR10); under WBbt:0006804
BWM-DR11,WBbt:0006265,Dppppa,high,body wall muscle cell (DR11); under WBbt:0006804
BWM-DR12,WBbt:0006011,Cpppaaa,high,body wall muscle cell (DR12); under WBbt:0006804
BWM-DR13,WBbt:0006049,Dppppp,high,body wall muscle cell (DR13); under WBbt:0006804
BWM-DR14,WBbt:0006148,Cppapaa,high,body wall muscle cell (DR14); under WBbt:0006804
BWM-DR15,WBbt:0007171,M.draa,high,body wall muscle cell (DR15); under WBbt:0006804
BWM-DR16,WBbt:0007172,M.drap,high,body wall muscle cell (DR16); under WBbt:0006804
BWM-DR17,WBbt:0006187,Cpppaap,high,body wall muscle cell (DR17); under WBbt:0006804
BWM-DR18,WBbt:0005864,Cppapap,high,body wall muscle cell (DR18); under WBbt:0006804
BWM-DR19,WBbt:0006452,Cppppaa,high,body wall muscle cell (DR19); under WBbt:0006804
BWM-DR20,WBbt:0006740,Cpppapa,high,body wall muscle cell (DR20); under WBbt:0006804
BWM-DR21,WBbt:0006555,Cppppap,high,body wall muscle cell (DR21); under WBbt:0006804
BWM-DR22,WBbt:0007176,M.drpp,high,body wall muscle cell (DR22); under WBbt:0006804
BWM-DR23,WBbt:0006113,Cpppppd,high,body wall muscle cell (DR23); under WBbt:0006804
BWM-DR24,WBbt:0006660,Cpppapp,high,body wall muscle cell (DR24); under WBbt:0006804
BWM-VL01,WBbt:0006469,MSappapp,high,body wall muscle cell (VL1); under WBbt:0006804
BWM-VL02,WBbt:0006685,MSapapap,high,body wall muscle cell (VL2); under WBbt:0006804
BWM-VL03,WBbt:0006381,Daapa,high,body wall muscle cell (VL3); under WBbt:0006804
BWM-VL04,WBbt:0006523,MSapppaa,high,body wall muscle cell (VL4); under WBbt:0006804
BWM-VL05,WBbt:0006435,Daapp,high,body wall muscle cell (VL5); under WBbt:0006804
BWM-VL06,WBbt:0006146,Daaaa,high,body wall muscle cell (VL6); under WBbt:0006804
BWM-VL07,WBbt:0006195,MSaapppaa,high,body wall muscle cell (VL7); under WBbt:0006804
BWM-VL08,WBbt:0006344,Dapaa,high,body wall muscle cell (VL8); under WBbt:0006804
BWM-VL09,WBbt:0006498,MSaapppap,high,body wall muscle cell (VL9); under WBbt:0006804
BWM-VL10,WBbt:0005954,Capaaaa,high,body wall muscle cell (VL10); under WBbt:0006804
BWM-VL11,WBbt:0006173,MSaappppa,high,body wall muscle cell (VL11); under WBbt:0006804
BWM-VL12,WBbt:0006213,Capaaap,high,body wall muscle cell (VL12); under WBbt:0006804
BWM-VL13,WBbt:0006397,MSaappppp,high,body wall muscle cell (VL13); under WBbt:0006804
BWM-VL14,WBbt:0006711,Capaapa,high,body wall muscle cell (VL14); under WBbt:0006804
