cook_name,canonical_name,note
AS01,AS1,zero-pad -> canonical (shared)
AS02,AS2,zero-pad -> canonical (shared)
AS03,AS3,zero-pad -> canonical (shared)
AS04,AS4,zero-pad -> canonical (shared)
AS05,AS5,zero-pad -> canonical (shared)
AS06,AS6,zero-pad -> canonical (shared)
AS07,AS7,zero-pad -> canonical (shared)
AS08,AS8,zero-pad -> canonical (shared)
AS09,AS9,zero-pad -> canonical (shared)
CA01,CA1,zero-pad -> canonical (male-specific)
CA02,CA2,zero-pad -> canonical (male-specific)
CA03,CA3,zero-pad -> canonical (male-specific)
CA04,CA4,zero-pad -> canonical (male-specific)
CA05,CA5,zero-pad -> canonical (male-specific)
CA06,CA6,zero-pad -> canonical (male-specific)
CA07,CA7,zero-pad -> canonical (male-specific)
CA08,CA8,zero-pad -> canonical (male-specific)
CA09,CA9,zero-pad -> canonical (male-specific)
CP01,CP1,zero-pad -> canonical (male-specific)
CP02,CP2,zero-pad -> canonical (male-specific)
CP03,CP3,zero-pad -> canonical (male-specific)
CP04,CP4,zero-pad -> canonical (male-specific)
CP05,CP5,zero-pad -> canonical (male-specific)
CP06,CP6,zero-pad -> canonical (male-specific)
CP07,CP7,zero-pad -> canonical (male-specific)
CP08,CP8,zero-pad -> canonical (male-specific)
CP09,CP9,zero-pad -> canonical (male-specific)
DA01,DA1,zero-pad -> canonical (shared)
DA02,DA2,zero-pad -> canonical (shared)
DA03,DA3,zero-pad -> canonical (shared)
DA04,DA4,zero-pad -> canonical (shared)
DA05,DA5,zero-pad -> canonical (shared)
DA06,DA6,zero-pad -> canonical (shared)
DA07,DA7,zero-pad -> canonical (shared)
DA08,DA8,zero-pad -> canonical (shared)
DA09,DA9,zero-pad -> canonical (shared)
DB01,DB1,zero-pad -> canonical (shared)
DB02,DB2,zero-pad -> canonical (shared)
DB03,DB3,zero-pad -> canonical (shared)
DB04,DB4,zero-pad -> canonical (shared)
DB05,DB5,zero-pad -> canonical (shared)
DB06,DB6,zero-pad -> canonical (shared)
DB07,DB7,zero-pad -> canonical (shared)
DD01,DD1,zero-pad -> canonical (shared)
DD02,DD2,zero-pad -> canonical (shared)
DD03,DD3,zero-pad -> canonical (shared)
DD04,DD4,zero-pad -> canonical (shared)
DD05,DD5,zero-pad -> canonical (shared)
DD06,DD6,zero-pad -> canonical (shared)
VA01,VA1,zero-pad -> canonical (shared)
VA02,VA2,zero-pad -> canonical (shared)
VA03,VA3,zero-pad -> canonical (shared)
VA04,VA4,zero-pad -> canonical (shared)
VA05,VA5,zero-pad -> canonical (shared)
VA06,VA6,zero-pad -> canonical (shared)
VA07,VA7,zero-pad -> canonical (shared)
VA08,VA8,zero-pad -> canonical (shared)
VA09,VA9,zero-pad -> canonical (shared)
VB01,VB1,zero-pad -> canonical (shared)
VB02,VB2,zero-pad -> canonical (shared)
VB03,VB3,zero-pad -> canonical (shared)
VB04,VB4,zero-pad -> canonical (shared)
VB05,VB5,zero-pad -> canonical (shared)
VB06,VB6,zero-pad -> canonical (shared)
VB07,VB7,zero-pad -> canonical (shared)
VB08,VB8,zero-pad -> canonical (shared)
VB09,VB9,zero-pad -> canonical (shared)
VC01,VC1,zero-pad -> canonical (shared)
VC02,VC2,zero-pad -> canonical (shared)
VC03,VC3,zero-pad -> canonical (shared)
VC04,VC4,zero-pad -> canonical (shared)
VC05,VC5,zero-pad -> canonical (shared)
VC06,VC6,zero-pad -> canonical (shared)
VD01,VD1,zero-pad -> canonical (shared)
VD02,VD2,zero-pad -> canonical (shared)
VD03,VD3,zero-pad -> canonical (shared)
VD04,VD4,zero-pad -> canonical (shared)
VD05,VD5,zero-pad -> canonical (shared)
VD06,VD6,zero-pad -> canonical (shared)
VD07,VD7,zero-pad -> canonical (shared)
VD08,VD8,zero-pad -> canonical (shared)
VD09,VD9,zero-pad -> canonical (shared)
dBWML1,BWM-DL01,Cook naming -> neuron-graph BWM cell
dBWML10,BWM-DL10,Cook naming -> neuron-graph BWM cell
