class,neuron,neurotransmitters
ADA,ADAL,Glu
ADA,ADAR,Glu
ADE,ADEL,DA
ADE,ADER,DA
ADF,ADFL,ACh | 5-HT (synthesis + uptake)
ADF,ADFR,ACh | 5-HT (synthesis + uptake)
ADL,ADLL,Glu
ADL,ADLR,Glu
AFD,AFDL,Glu | ACh - NEW
AFD,AFDR,Glu | ACh - NEW
AIA,AIAL,ACh
AIA,AIAR,ACh
AIB,AIBL,Glu | betaine (uptake) - NEW
AIB,AIBR,Glu | betaine (uptake) - NEW
AIM,AIML,Glu | 5-HT (uptake)
AIM,AIMR,Glu | 5-HT (uptake)
AIN,AINL,ACh
AIN,AINR,ACh
AIY,AIYL,ACh
AIY,AIYR,ACh
AIZ,AIZL,Glu
AIZ,AIZR,Glu
ALA,ALA,GABA
ALM,ALML,Glu
ALM,ALMR,Glu
ALN,ALNL,ACh
ALN,ALNR,ACh
AQR,AQR,Glu
AS,AS1,ACh
AS,AS2,ACh
AS,AS3,ACh
AS,AS4,ACh
AS,AS5,ACh
AS,AS6,ACh
AS,AS7,ACh
AS,AS8,ACh
AS,AS9,ACh
AS,AS10,ACh
AS,AS11,ACh
ASE,ASEL,Glu
ASE,ASER,Glu
ASG,ASGL,Glu | *betaine (uptake) - NEW
ASG,ASGR,Glu | *betaine (uptake) - NEW
ASH,ASHL,Glu
ASH,ASHR,Glu
ASI,ASIL,*betaine (uptake) - NEW
ASI,ASIR,*betaine (uptake) - NEW
ASJ,ASJL,ACh
ASJ,ASJR,ACh
ASK,ASKL,Glu
ASK,ASKR,Glu
AUA,AUAL,Glu | betaine (uptake) - NEW
AUA,AUAR,Glu | betaine (uptake) - NEW
AVA,AVAL,ACh
AVA,AVAR,ACh
AVB,AVBL,ACh
AVB,AVBR,ACh
AVD,AVDL,ACh
AVD,AVDR,ACh
AVE,AVEL,ACh
AVE,AVER,ACh
AVF,AVFL,GABA (uptake)
AVF,AVFR,GABA (uptake)
AVG,AVG,*ACh
AVH,AVHL,unknown (orphan)
AVH,AVHR,unknown (orphan)
AVJ,AVJL,*GABA
AVJ,AVJR,*GABA
AVK,AVKL,"unknown (orphan, unc-47 expression)"
AVK,AVKR,"unknown (orphan, unc-47 expression)"
AVL,AVL,GABA | unknown monoamine? - NEW
AVM,AVM,Glu
AWA,AWAL,*ACh - NEW
AWA,AWAR,*ACh - NEW
AWB,AWBL,ACh
AWB,AWBR,ACh
AWC,AWCL,Glu
AWC,AWCR,Glu
BAG,BAGL,Glu
BAG,BAGR,Glu
BDU,BDUL,unknown (orphan)
BDU,BDUR,unknown (orphan)
CAN,CANL,betaine (uptake)
CAN,CANR,betaine (uptake)
CEP,CEPDL,DA
CEP,CEPDR,DA
CEP,CEPVL,DA
CEP,CEPVR,DA
DA,DA1,ACh
DA,DA2,ACh
DA,DA3,ACh
DA,DA4,ACh
DA,DA5,ACh
DA,DA6,ACh
DA,DA7,ACh
DA,DA8,ACh
DA,DA9,ACh | *betaine (uptake) - NEW
DB,DB1/3,ACh
DB,DB2,ACh
DB,DB3/1,ACh
DB,DB4,ACh
DB,DB5,ACh
DB,DB6,ACh
DB,DB7,ACh
DD,DD1,GABA
DD,DD2,GABA
DD,DD3,GABA
DD,DD4,GABA
DD,DD5,GABA
DD,DD6,GABA
DVA,DVA,ACh | Glu - NEW
DVB,DVB,GABA | *betaine (uptake) - NEW
DVC,DVC,Glu
FLP,FLPL,Glu
FLP,FLPR,Glu
HSN,HSNL,ACh | 5-HT
HSN,HSNR,ACh | 5-HT
I1,I1L,ACh
I1,I1R,ACh
I2,I2L,Glu
I2,I2R,Glu
I3,I3,ACh
I4,I4,*Glu - NEW
I5,I5,Glu | 5-HT (alternative synthesis/uptake mechanism)
I6,I6,"unknown (orphan, unc-47 expression)"
IL1,IL1DL,Glu
IL1,IL1DR,Glu
IL1,IL1L,Glu
IL1,IL1R,Glu
IL1,IL1VL,Glu
IL1,IL1VR,Glu
