cell,sex,neurotransmitter,confidence,note
ADFL,hermaphrodite,as,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
ADFL,male,ags,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
ADFR,hermaphrodite,as,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
ADFR,male,ags,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
AIML,hermaphrodite,ls,reported,"Glu->ACh switch in male (eat-4 down, unc-17 up) [Supp4]"
AIML,male,as,reported,"Glu->ACh switch in male (eat-4 down, unc-17 up) [Supp4]"
AIMR,hermaphrodite,ls,reported,"Glu->ACh switch in male (eat-4 down, unc-17 up) [Supp4]"
AIMR,male,as,reported,"Glu->ACh switch in male (eat-4 down, unc-17 up) [Supp4]"
AS10,hermaphrodite,a,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
AS10,male,ag,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
AS11,hermaphrodite,a,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
AS11,male,ag,reported,male gains GABA (unc-47+) [Wang 2024 Supp4]
CA1,male,a,reported,Wang 2024 Supp3 call: ACh
CA2,male,a,reported,Wang 2024 Supp3 call: ACh
CA3,male,a,reported,Wang 2024 Supp3 call: ACh
CA4,male,a,reported,Wang 2024 Supp3 call: ACh
CA5,male,a,reported,Wang 2024 Supp3 call: ACh
CA6,male,a,reported,Wang 2024 Supp3 call: ACh
CA7,male,a,reported,Wang 2024 Supp3 call: ACh
CA8,male,a,reported,Wang 2024 Supp3 call: ACh
CA9,male,a,reported,Wang 2024 Supp3 call: ACh
CEMDL,male,a,reported,Wang 2024 Supp3 call: ACh
CEMDR,male,a,reported,Wang 2024 Supp3 call: ACh
CEMVL,male,a,reported,Wang 2024 Supp3 call: ACh
CEMVR,male,a,reported,Wang 2024 Supp3 call: ACh
CP0,male,l,reported,Wang 2024 Supp3 call: Glu
CP1,male,a,reported,Wang 2024 Supp3 call: ACh (new)
CP2,male,a,reported,Wang 2024 Supp3 call: ACh (new)
