neurotransmitter,description,gene,detection_method,localization,references
acetylcholine,ACh,NA,Radioenzymatic assay,Whole animal,"Hosono et al., 1987 ; Hosono & Kamiya, 1991 ; Nguyen et al., 1995"
acetylcholine,Choline Acetyltransferase (ChAT),cha-1 1,Enzymatic assay,Whole animal,"Rand & Russell, 1984"
acetylcholine,ChAT,cha-1 1,Antibody,Same as unc-17 (see below) 2,"Duerr et al., 2008"
acetylcholine,Vesicular Acetylcholine Transporter (VAChT),unc-17 1,Antibody,"AIA , AIY","Altun-Gultekin et al., 2001"
acetylcholine,VAChT,unc-17 1,Antibody,"ALN , AS1-11 , DA1-9 , DB1-7 , HSN (faint, h), PLN , SDQ , URA , URB , VA1-12, VB1-11 , VC1-6 (h), many others","Duerr et al., 2008"
acetylcholine,VAChT,unc-17 1,Reporter transgenics,"IL2 , URA , URB","Zhang et al., 2014"
acetylcholine,VAChT,unc-17 1,Reporter transgenics,"PCB (m), PCC (m), PVX (m), PVY (m), SPC (m), SPV (m)","Garcia et al., 2001 ; LeBouef et al., 2014"
acetylcholine,VAChT,unc-17 1,Reporter transgenics,SMB,"Kim et al., 2015"
acetylcholine,VAChT,unc-17 1,"Reporter transgenics (fosmid 3 ), Antibody","ADF , AIA , [ AIM ] 4 , AIN , AIY , ALN , AS1-11(1-11) , ASJ , AVA , AVB , AVD , AVE , AVG 5 , AWB , CA1-9 (m), CEM (m), DA1-9 , DB1-7 , DVA 6 , DVE (m) 7 , DVF (m) 7 , HOB (m), HSN (h), I1 5 , I3 5 , IL2 , M1 5 , M2 5 , M4 , M5 , MC 5 , PCB (m), PCC (m), PDA , PDB , PDC (m), PGA (m), PLN , PVC , PVN 5 , PVP , PVV (m), PVX (m), PVY (m), PVZ (m), R1A (m), R2A (m), R3A (m), R4A (m), R6A (m), RIB 8 , RIF , RIH , RIR , RIV , RMD , RMF , RMH , SAA 5 , SAB , SDQ , SIA , SIB , SMB , SMD , SPC (m), SPV (m), URA , URB , URX , VA1-12, VB1-11 , VC1-6 (h) 9","Pereira et al., 2015"
acetylcholine,VAChT,unc-17 1,Reporter transgenics (fosmid 3 ),DX1/2 (m) 7,"Serrano-Saiz et al., 2017"
