pre,post,synapses,size_sum
ADAL,AIAL,1,313286
ADAL,AIBL,1,219514
ADAL,ASHL,4,462383
ADAL,AVAL,4,182107
ADAL,AVBL,12,1637025
ADAL,AVBR,5,435927
ADAL,AVDL,1,371050
ADAL,AVDR,3,282211
ADAL,AVHR,2,169552
ADAL,AVJR,2,364674
ADAL,PVCL,1,8168
ADAL,RIFL,3,89233
ADAL,RIML,10,959314
ADAL,URBL,1,19806
ADAL,URYDL,1,75350
ADAR,AIBL,2,69354
ADAR,AIBR,1,110947
ADAR,ASHR,2,151057
ADAR,AVAL,1,59971
ADAR,AVAR,6,974350
ADAR,AVBL,3,694813
ADAR,AVBR,9,2367967
ADAR,AVDL,2,20824
ADAR,AVDR,1,45448
ADAR,AVHL,1,50564
ADAR,AVJL,5,891050
ADAR,DVA,2,28341
ADAR,OLQVR,1,9058
ADAR,RIAR,2,320251
ADAR,RICL,1,51200
ADAR,RIFR,1,13779
ADAR,RIMR,4,155784
ADAR,SAAVR,1,231813
ADAR,SDQR,2,9430
ADEL,AVEL,1,44710
ADEL,AVFR,1,54490
ADEL,CEPDL,1,36991
ADEL,RMDL,3,748582
ADEL,RMER,2,259833
ADEL,RMHR,2,63139
ADEL,URBL,1,21056
ADER,ADEL,1,2953
ADER,AVAL,1,81364
ADER,AVAR,1,73490
ADER,FLPL,1,4593
ADER,RMDR,2,173574
ADER,RMEL,4,273053
ADER,RMHL,4,62974
ADFL,ADAL,2,7040
ADFL,AFDL,1,21718
ADFL,AIYL,1,170282
ADFL,AIZL,6,2691252
ADFL,ASHL,1,29582
ADFL,AVAR,3,131097
ADFL,AVHR,2,62489
ADFL,AVJL,1,44334
ADFL,AWBL,1,4709
ADFL,RIAL,6,1065026
ADFL,RIBL,1,13459
ADFL,RIFL,2,11836
ADFL,RIR,2,243125
ADFL,SIAVL,1,24173
ADFL,SMBVL,1,135878
ADFR,AFDR,3,146171
ADFR,AIMR,5,832829
ADFR,AIZR,11,1783367
ADFR,ASHR,3,140133
ADFR,AUAR,4,243972
ADFR,AVHL,5,242182
ADFR,AVJL,4,240840
ADFR,AVJR,1,30188
ADFR,AWBR,4,289686
ADFR,AWCL,1,56052
ADFR,RIAR,8,800668
ADFR,RIFR,1,31499
ADFR,RIMR,1,9982
ADFR,RIPR,1,30780
ADFR,RIR,2,69553
ADFR,SIBVR,1,11641
ADFR,SMBVR,5,215658
ADLL,ADAL,2,64567
ADLL,AIAL,7,1639054
ADLL,AIAR,1,446929
ADLL,AIBL,6,323818
ADLL,ASEL,2,18916
ADLL,ASHL,1,129032
ADLL,ASKL,5,190289
ADLL,AVAL,1,317065
ADLL,AVDL,2,210831
ADLL,AVDR,3,257105
ADLL,AVJL,2,265169
ADLL,AWCL,1,49539
ADLL,AWCR,1,28487
ADLR,ADAR,1,23533
ADLR,AIAR,5,1607014
ADLR,AIBR,11,762927
ADLR,ASER,5,106731
ADLR,ASHR,2,80839
ADLR,ASKR,2,103210
ADLR,AVAR,4,270865
ADLR,AVDL,5,524473
ADLR,AWAR,3,219088
ADLR,AWCR,4,229558
ADLR,SMBVR,2,218961
AFDL,ADFL,1,109181
AFDL,AIYL,10,7860901
AFDL,AIZL,1,17219
AFDL,ASEL,1,408307
AFDL,ASER,7,551947
AFDL,AUAL,1,38689
AFDL,AWAL,4,316092
AFDL,AWBL,1,162754
